FID, PD , LPI , ED , LSI , CONTAG , SHDI , SHEI , AI
2604,49.0,66.4,215.0796,4.0769,11.2854,0.6289,0.9073,67.6317
2605,39.7685,86.2331,115.3472,3.9203,64.3189,0.4059,0.3694,82.9248
2606,53.833,72.2656,202.5373,3.3906,16.0445,0.5904,0.8518,69.7304
2607,57.4219,83.0,146.8506,2.8571,35.2139,0.4559,0.6577,78.0318
2608,53.2609,89.8551,95.281,2.2763,53.5339,0.3283,0.4736,85.772
2609,66.256,63.4615,225.924,3.08,10.8001,0.6223,0.8979,65.7962
2610,34.0942,44.5312,199.625,4.7157,5.5868,0.6924,0.999,70.5044
2611,27.4626,80.2174,144.3949,3.2791,30.8801,0.4974,0.7176,78.7327
2612,36.3758,71.4932,150.2752,2.6333,20.506,0.5892,0.85,78.2708
2613,52.5429,76.4706,143.9712,2.34,25.5552,0.5456,0.7871,78.5276
2614,85.4209,89.2562,106.427,1.8636,51.3891,0.3411,0.4921,83.8624
2615,49.3469,90.2344,84.7215,2.0,55.464,0.3199,0.4615,87.5809
2616,32.9695,65.5502,197.8186,3.1379,10.2501,0.644,0.9291,70.4338
2617,101.3327,57.6471,259.1481,3.4074,3.761,0.673,0.971,60.4711
2618,63.8021,90.7407,95.3901,2.1515,55.8238,0.3085,0.4451,85.6916
2619,16.9887,85.2071,98.2569,2.3784,43.6722,0.4191,0.6046,85.5431
2620,38.2812,65.1852,210.8624,3.5455,9.3634,0.6463,0.9324,68.606
2621,49.9321,80.0512,143.8749,3.075,30.6567,0.4997,0.7209,78.7464
2622,47.8515,77.0833,148.2626,2.6935,25.9378,0.5383,0.7766,78.3735
2623,49.5605,67.4107,179.5289,4.5385,17.2837,0.5983,0.8631,72.944
2624,19.418,85.0242,108.8692,2.622,42.1139,0.4223,0.6092,84.1193
2625,23.9258,93.75,40.9487,1.4677,69.9646,0.2338,0.3373,94.4196
2626,14.3555,99.375,8.4721,1.0769,94.3263,0.038,0.0548,98.6943
2627,10.6666,99.3808,6.2951,1.0833,95.0489,0.0377,0.0543,99.0528
2628,79.7526,54.1667,178.8565,2.1176,6.6542,0.687,0.9911,74.7162
2629,58.0019,44.4444,184.8469,2.35,5.8428,0.6919,0.9982,73.377
2630,32.8125,94.7619,38.7298,1.4138,72.8743,0.2055,0.2964,94.9875
2631,38.2812,66.0,129.9063,2.6429,22.2244,0.5991,0.8644,81.5318
2632,58.8942,96.1538,47.7916,1.3611,76.1923,0.163,0.2352,91.7832
2633,30.1859,95.6989,44.9419,1.9569,75.1521,0.1774,0.2559,93.3285
2634,65.625,87.381,119.417,2.8049,46.0587,0.3791,0.5469,82.1984
2635,104.4034,80.8081,164.3084,2.2,30.0763,0.489,0.7055,74.9064
2636,50.4808,89.3773,89.3765,2.0588,52.9492,0.3386,0.4884,86.7815
2637,41.0156,74.1071,163.3915,2.2273,20.3058,0.5719,0.8251,75.9212
2638,40.5331,73.5294,125.5872,2.1667,26.1773,0.5591,0.8066,82.0287
2639,39.375,88.0,101.6658,2.4079,48.605,0.3669,0.5294,84.86
2640,29.4471,59.6154,178.1324,2.64,8.7009,0.6745,0.9732,74.2377
2641,45.0368,84.3137,125.1442,2.6143,39.3998,0.4344,0.6268,81.5492
2642,53.3203,73.9286,167.0224,3.0294,20.6484,0.5738,0.8278,75.2976
2643,29.8295,98.7013,13.2034,1.0833,90.6403,0.0693,0.1,97.9647
2644,36.0937,32.8571,227.5377,4.1184,4.6689,0.6784,0.9787,65.9059
2645,32.3153,89.3939,82.8877,2.314,53.7882,0.3382,0.4879,87.9286
2646,39.2886,60.5263,149.8233,3.1538,25.0727,0.5474,0.7897,78.073
2647,117.1875,77.551,138.3208,1.7143,32.2434,0.4769,0.688,79.8507
2648,89.7217,48.4375,222.3939,2.3125,2.2783,0.6931,1.0,67.3077
2649,59.6591,79.8701,151.8385,2.38,29.7771,0.5022,0.7245,77.5354
2650,33.58,88.8889,90.5017,2.4891,51.9887,0.3488,0.5033,86.6508
2651,53.7281,80.117,169.443,3.3108,28.7729,0.4988,0.7196,74.7098
2652,46.9349,92.3372,77.0392,2.5893,61.7306,0.2705,0.3902,88.5481
2653,76.5625,80.0,169.443,2.6667,28.5388,0.5004,0.7219,74.303
2654,34.6511,91.5948,72.3054,2.1477,60.2065,0.2886,0.4163,89.241
2655,89.3229,86.6667,90.3696,1.6316,49.3521,0.3713,0.5357,87.0238
2656,205.0781,82.1429,157.3399,1.5909,33.7711,0.4692,0.6769,74.3056
2657,48.1862,91.6084,61.6156,1.5417,61.457,0.2882,0.4158,91.2308
2658,29.7743,84.0741,115.4723,2.3939,39.6551,0.4384,0.6325,83.3142
2659,44.3256,88.0702,68.9663,1.8529,53.76,0.3585,0.5171,90.3307
2660,34.1797,91.0714,73.627,2.0135,58.5091,0.3009,0.4341,89.0824
2661,36.062,89.8551,95.7721,2.4268,53.2906,0.3283,0.4736,85.78
2662,36.5412,73.6364,172.5238,2.9333,19.5462,0.5768,0.8322,74.035
2663,71.7773,75.0,176.5031,2.25,20.5755,0.5623,0.8113,73.2594
2664,29.8295,97.4026,17.6045,1.1111,84.6352,0.1205,0.1738,99.2621
2665,43.5014,74.6212,119.3803,2.4697,27.4354,0.5581,0.8052,82.7048
2666,13.511,91.3725,47.8427,1.5625,63.2402,0.2938,0.4239,93.7168
2667,51.0417,66.2222,167.1838,2.85,19.3014,0.5844,0.8431,75.4575
2668,47.8515,75.5556,109.1966,2.5263,34.1885,0.5042,0.7274,84.3913
2669,36.4583,85.9127,114.3068,2.8889,43.6965,0.4029,0.5813,83.1215
2670,52.4527,60.5769,188.1795,3.8415,11.5779,0.6435,0.9284,72.1186
2671,28.4736,91.7355,58.8149,1.4773,61.8066,0.2852,0.4114,92.6933
2672,28.0868,94.2935,42.3607,1.5897,71.2004,0.2188,0.3157,94.059
2673,48.6111,75.3968,157.7882,3.2564,23.7347,0.555,0.8006,76.7206
2674,44.3331,69.4853,207.4431,4.5851,13.8526,0.6106,0.8808,68.9014
2675,36.8483,68.984,188.4714,3.6667,14.1066,0.6192,0.8934,72.1199
2676,32.1562,88.4,85.3993,2.0781,51.096,0.3589,0.5178,87.0283
2677,56.4145,84.5614,124.8527,2.5441,40.061,0.4302,0.6207,81.5504
2678,31.321,42.7273,160.2007,2.2381,15.1059,0.6255,0.9024,77.2763
2679,40.4898,76.9231,153.1504,2.9861,25.507,0.5402,0.7793,77.0739
2680,24.1776,96.8421,32.105,1.3571,80.2674,0.1402,0.2022,95.1809
2681,24.3608,90.303,62.6426,1.8243,58.4568,0.3184,0.4593,91.2294
2682,38.6029,72.6891,160.8997,2.8226,19.8115,0.5863,0.8459,76.5499
2683,65.625,92.8571,79.8803,1.6875,62.7755,0.2573,0.3712,87.6872
2684,19.5756,94.8864,41.398,1.6974,72.875,0.2018,0.2912,93.3607
2685,47.1154,77.9487,72.9908,1.75,38.9616,0.5143,0.742,90.6338
2686,38.0574,82.4561,131.4587,3.163,35.6145,0.4644,0.67,80.5781
2687,41.6667,70.068,192.1122,3.9762,15.2979,0.6064,0.8748,71.4996
2688,61.25,79.3333,153.6283,2.36,28.2925,0.5095,0.7351,77.133
2689,31.5505,74.1758,145.2369,3.0256,23.187,0.5712,0.8241,78.5524
2690,57.4219,88.5714,113.7689,1.9792,48.5687,0.3554,0.5127,82.8508
2691,35.8887,93.3036,68.0798,1.75,64.9302,0.2457,0.3545,89.8531
2692,63.1009,73.0769,188.0631,2.8704,17.8358,0.5825,0.8404,72.0253
2693,44.1707,71.1538,178.8565,3.8068,18.1737,0.5888,0.8494,73.4284
2694,41.3565,93.6288,71.3444,2.0,65.8563,0.2371,0.342,89.2693
2695,44.1028,85.7143,136.9079,3.5288,41.3982,0.4101,0.5917,79.492
2696,48.4896,90.8889,74.5549,2.1977,60.6029,0.2842,0.41,88.6912
2697,49.2187,84.2857,118.6101,2.0208,39.4902,0.4349,0.6274,82.6219
2698,42.5347,93.3333,64.0118,1.7727,65.4309,0.2449,0.3534,90.6121
2699,71.7773,80.5147,180.6561,3.197,28.7724,0.4932,0.7115,72.73
2700,47.8515,94.1667,50.8329,1.4091,69.8169,0.2224,0.3208,92.8554
2701,56.7129,80.2469,154.7998,2.4615,29.592,0.497,0.717,76.4559
2702,47.012,89.7661,76.2989,2.0405,55.4903,0.3302,0.4764,89.0522
2703,72.9166,93.6508,64.5497,1.375,66.0579,0.2365,0.3412,90.6474
2704,6.5252,100.0,0.0,1.0,0.0,0.0,0.0,100
2705,36.4583,98.4127,21.5166,1.125,87.5739,0.0815,0.1176,96.5902
2706,65.625,71.4286,106.507,1.6471,24.5858,0.5983,0.8631,86.5817
2707,102.0833,93.3333,75.308,1.3571,65.1821,0.2449,0.3534,86.7606
2708,191.4062,83.3333,112.962,1.3333,37.462,0.4506,0.65,84.0909
2709,72.9166,58.7302,161.3743,1.9375,9.2413,0.6778,0.9779,78.3807
2710,83.5227,89.0909,107.8274,1.8333,50.2019,0.3446,0.4972,83.6941
2711,20.5078,100.0,0.0,1.0,0.0,0.0,0.0,100
2712,39.4775,83.4375,122.8462,2.6111,38.5494,0.4438,0.6403,81.8958
2713,11.9629,98.6111,15.2969,1.1912,89.6529,0.0732,0.1056,97.8503
2714,62.4151,77.7174,148.2626,3.0641,28.2921,0.5201,0.7503,77.9612
2715,11.8886,98.1366,16.1374,1.2614,87.6719,0.0927,0.1337,97.8275
2716,39.7727,68.1818,188.5145,3.9884,13.6796,0.6238,0.9,72.1547
2717,57.4219,92.5,85.7805,2.125,61.556,0.2664,0.3843,87.0102
2718,39.0625,85.034,104.8933,2.3,42.5904,0.4221,0.609,84.7246
2719,43.0664,83.75,111.55,2.2742,39.6793,0.4438,0.6403,83.8914
2720,41.2482,88.4688,96.7331,2.6413,51.3037,0.3497,0.5045,85.7328
2721,36.7233,61.1919,212.7889,5.1887,8.0347,0.6593,0.9512,67.9121
2722,62.7298,77.3109,185.1058,3.0968,23.7895,0.5355,0.7726,72.2067
2723,81.0662,73.5294,185.3906,2.7222,19.1793,0.5718,0.825,72.1184
2724,49.3672,76.2443,134.1743,3.0349,28.7479,0.5291,0.7633,80.343
2725,33.58,90.0585,63.4173,1.8649,57.8568,0.3238,0.4671,91.2364
2726,52.2017,78.2828,130.0775,2.3103,30.7926,0.51,0.7358,81.011
2727,32.401,88.2445,92.9546,2.7157,50.6007,0.3589,0.5177,86.3583
2728,53.1684,87.6543,111.9161,2.5694,46.9743,0.3738,0.5392,82.8643
2729,27.9134,96.1806,35.3006,1.5,77.8295,0.1622,0.234,94.6096
2730,41.7614,59.0909,194.0893,2.5,6.6666,0.6765,0.976,71.9164
2731,42.9687,63.6054,180.9697,3.2429,12.0748,0.6434,0.9282,73.3281
2732,53.0048,56.1538,258.0747,3.1522,3.0667,0.676,0.9753,60.7015
2733,71.7773,67.7083,194.1534,2.375,13.5724,0.6126,0.8838,70.9472
2734,26.1008,88.6364,85.4917,2.3214,51.8048,0.3541,0.5108,87.6774
2735,53.3094,86.4721,120.0034,3.4273,45.1044,0.3889,0.561,82.1572
2736,114.8437,62.5,313.4695,2.4231,5.3965,0.6616,0.9544,47.8693
2737,54.6875,91.6667,89.5627,2.4024,58.7028,0.2868,0.4138,86.3588
2738,36.2664,95.7895,43.9957,1.5441,75.4779,0.1746,0.2519,93.5391
2739,71.7773,58.3333,141.2025,1.7143,20.5557,0.5841,0.8427,81.1622
2740,54.6875,74.2857,156.5331,2.6724,25.1815,0.5375,0.7755,76.9621
2741,31.901,72.2222,164.7362,2.0294,17.7918,0.5908,0.8524,76.3481
2742,24.1776,95.4386,45.1848,1.5588,74.021,0.1854,0.2675,93.3438
2743,52.2017,72.2727,197.17,3.1667,16.3628,0.5904,0.8517,70.2676
2744,37.4178,94.4862,57.755,1.85,69.6505,0.2134,0.3078,91.4227
2745,67.5551,81.2834,155.8513,2.5357,31.3509,0.4821,0.6955,76.4693
2746,35.0911,72.2222,175.0911,3.4474,18.1337,0.5908,0.8524,74.165
2747,34.1797,68.4524,133.1338,2.3846,22.5062,0.587,0.8469,80.2907
2748,53.4811,91.1765,86.3827,2.2683,57.9384,0.2984,0.4306,87.0275
2749,19.1406,98.3333,11.2962,1.0909,89.377,0.0848,0.1223,99.5405
2750,53.0048,80.5769,164.8811,3.75,30.7982,0.4868,0.7023,75.3475
2751,23.843,96.5398,34.0059,1.4265,79.0549,0.1504,0.217,95.2094
2752,65.4811,56.5789,221.465,3.4032,5.3701,0.6744,0.973,66.9193
2753,19.8006,97.8448,24.8322,1.4091,85.1431,0.104,0.1501,96.1403
2754,25.2404,96.1538,42.2056,1.7234,76.815,0.163,0.2352,93.7146
2755,25.185,93.7135,43.1039,1.8774,69.9886,0.2308,0.333,93.6029
2756,36.8089,70.5128,158.5813,3.0556,18.3848,0.6036,0.8709,76.6064
2757,40.3747,93.75,71.4838,1.8438,66.3209,0.2338,0.3373,89.1025
2758,53.833,86.1979,105.9019,2.5,44.7062,0.4014,0.579,84.4173
