FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11866,31.901,85.4167,120.0221,2.0625,41.3865,0.4154,0.5993,82.604
11867,26.1008,98.4848,20.5385,1.1739,88.2533,0.0785,0.1133,96.8227
11868,28.3565,97.5309,12.5513,1.0833,86.3171,0.1158,0.167,100
11869,52.2017,89.7727,84.7215,1.8148,54.3458,0.33,0.4762,87.6789
11870,36.4583,80.9524,135.247,3.0952,33.1223,0.4869,0.7025,80.0489
11871,27.5625,89.0667,81.3326,2.1795,53.2014,0.3451,0.4979,88.1023
11872,61.5234,74.1071,136.1596,2.0227,25.4833,0.5523,0.7968,80.3012
11873,28.8138,70.3704,169.6454,4.6121,17.554,0.6056,0.8737,75.0003
11874,43.4283,55.4622,176.5625,3.0,9.5249,0.6709,0.9679,74.2592
11875,102.0833,82.2222,120.4928,1.5714,35.1216,0.468,0.6752,83.0237
11876,28.7109,93.3333,67.7772,1.5909,64.4024,0.2449,0.3534,89.9934
11877,34.8011,92.9293,65.0387,1.475,63.676,0.2555,0.3686,91.3649
11878,35.7645,93.4256,58.6308,1.7353,66.5843,0.2425,0.3498,91.412
11879,52.2017,48.1818,163.2814,2.2619,8.2583,0.6925,0.999,77.2478
11880,24.8887,84.5201,94.4264,2.25,43.1166,0.4309,0.6217,86.6926
11881,58.0019,69.697,184.8469,2.35,14.1443,0.6134,0.885,72.6128
11882,82.0312,61.6071,208.778,2.5682,6.5882,0.666,0.9608,68.8007
11883,88.3413,69.2308,147.7195,2.0,17.0971,0.6172,0.8905,78.2421
11884,18.5982,97.166,20.5801,1.2344,83.4433,0.1289,0.186,97.2846
11885,32.5265,43.3551,157.9991,3.5116,11.1924,0.679,0.9796,76.9987
11886,16.644,94.9275,40.1097,1.5976,73.2188,0.2006,0.2895,94.3785
11887,53.0048,92.3077,67.7772,1.5652,62.4646,0.2712,0.3912,90.0168
11888,42.0673,94.1392,59.5844,1.7059,68.5434,0.2231,0.3219,91.0545
11889,71.7773,66.25,144.0265,1.9444,17.3274,0.6211,0.896,79.6546
11890,91.875,96.0,40.6663,1.15,76.485,0.1679,0.2423,93.4737
11891,18.1332,96.8421,34.7804,1.5,79.9368,0.1402,0.2022,94.9453
11892,27.3437,96.6667,29.0474,1.3103,80.2763,0.1461,0.2108,96.1218
11893,56.2172,46.8531,194.3262,2.7083,5.2767,0.6919,0.9983,71.7169
11894,50.6663,70.0,165.4561,3.2432,17.0083,0.6109,0.8813,75.7631
11895,32.8125,97.1429,33.8886,1.3621,81.1652,0.1297,0.1872,94.9879
11896,21.2674,95.9259,40.7918,1.7128,76.1885,0.1703,0.2457,93.9037
11897,82.0312,94.6429,66.5669,1.3667,69.4154,0.2089,0.3014,89.4427
11898,28.9236,93.037,54.7238,2.0481,66.1236,0.2527,0.3645,92.126
11899,49.6238,87.3457,90.9972,2.2917,49.8912,0.3677,0.5304,86.2345
11900,38.2812,75.9259,159.4019,3.0455,23.4217,0.5519,0.7963,75.7554
11901,22.6293,87.3563,68.445,2.23,52.079,0.3796,0.5476,90.3625
11902,31.321,79.697,127.339,2.6757,31.7453,0.5046,0.7279,81.4624
11903,41.0156,47.619,149.2712,1.9737,9.6793,0.692,0.9984,79.4262
11904,37.2179,84.7222,62.7567,1.6667,52.986,0.3768,0.5436,91.7209
11905,35.5553,57.8947,114.3609,2.5139,20.3587,0.6454,0.9311,84.2614
11906,95.7031,73.6111,117.6687,1.7353,27.9332,0.5466,0.7885,84.2632
11907,105.4687,83.6735,121.0307,1.925,38.7806,0.445,0.6421,81.6139
11908,52.2017,51.5152,200.2508,2.6957,5.2147,0.6875,0.9919,70.837
11909,52.6367,55.0,208.9797,3.3871,7.7282,0.6616,0.9544,68.9399
11910,71.7773,68.1818,165.592,2.5926,15.3791,0.6255,0.9024,75.5434
11911,34.4531,95.6667,44.0552,1.6143,74.975,0.1784,0.2574,93.0864
11912,71.7773,80.0,88.9576,1.5833,39.9747,0.4637,0.669,89.1685
11913,42.9896,79.6791,143.1657,2.4107,30.5456,0.4974,0.7176,78.8933
11914,17.4006,93.9394,41.8106,1.6628,70.3055,0.2286,0.3298,94.2776
11915,16.644,98.913,11.0506,1.1618,92.0845,0.06,0.0865,98.1403
11916,114.8437,95.0,50.8329,1.1667,71.9058,0.1985,0.2864,91.7241
